Country,Year,incomeshare,measure
United Kingdom,1980,,p99p100
United Kingdom,1981,0.065700002,p99p100
United Kingdom,1982,0.067299999,p99p100
United Kingdom,1983,0.067000002,p99p100
United Kingdom,1984,0.069600001,p99p100
United Kingdom,1985,0.071599998,p99p100
United Kingdom,1986,0.072999999,p99p100
United Kingdom,1987,0.075199999,p99p100
United Kingdom,1988,0.082000002,p99p100
United Kingdom,1989,0.082000002,p99p100
United Kingdom,1990,0.078100003,p99p100
United Kingdom,1991,0.079599999,p99p100
United Kingdom,1992,0.075499997,p99p100
United Kingdom,1993,0.0823,p99p100
United Kingdom,1994,0.088500001,p99p100
United Kingdom,1995,0.088799998,p99p100
United Kingdom,1996,0.099399999,p99p100
United Kingdom,1997,0.1001,p99p100
United Kingdom,1998,0.1019,p99p100
United Kingdom,1999,0.1034,p99p100
United Kingdom,2000,0.104,p99p100
United Kingdom,2001,0.1029,p99p100
United Kingdom,2002,0.1031,p99p100
United Kingdom,2003,0.1086,p99p100
United Kingdom,2004,0.1084,p99p100
United Kingdom,2005,0.1173,p99p100
United Kingdom,2006,0.1231,p99p100
United Kingdom,2007,0.1261,p99p100
United Kingdom,2008,0.1201,p99p100
United Kingdom,2009,0.1241,p99p100
United Kingdom,2010,0.1005,p99p100
United Kingdom,2011,0.105,p99p100
United Kingdom,2012,0.1031,p99p100
United Kingdom,2013,0.1179,p99p100
United Kingdom,2014,0.1116,p99p100
United Kingdom,2015,0.1279,p99p100
United Kingdom,2016,0.1171,p99p100
World,1980,0.16159999,p99p100
World,1981,0.1621,p99p100
World,1982,0.15629999,p99p100
World,1983,0.1576,p99p100
World,1984,0.1618,p99p100
World,1985,0.1696,p99p100
World,1986,0.1718,p99p100
World,1987,0.1762,p99p100
World,1988,0.1807,p99p100
World,1989,0.1804,p99p100
World,1990,0.1813,p99p100
World,1991,0.1798,p99p100
World,1992,0.18340001,p99p100
World,1993,0.18619999,p99p100
World,1994,0.1877,p99p100
World,1995,0.19159999,p99p100
World,1996,0.1963,p99p100
World,1997,0.2,p99p100
World,1998,0.20389999,p99p100
World,1999,0.2057,p99p100
World,2000,0.20900001,p99p100
World,2001,0.20730001,p99p100
World,2002,0.2076,p99p100
World,2003,0.2102,p99p100
World,2004,0.2132,p99p100
World,2005,0.2175,p99p100
World,2006,0.2212,p99p100
World,2007,0.2208,p99p100
World,2008,0.2176,p99p100
World,2009,0.2077,p99p100
World,2010,0.2079,p99p100
World,2011,0.20900001,p99p100
World,2012,0.2066,p99p100
World,2013,0.20550001,p99p100
World,2014,0.2051,p99p100
World,2015,0.20559999,p99p100
World,2016,0.2044,p99p100
United Kingdom,1980,,p0p50
United Kingdom,1981,0.237,p0p50
United Kingdom,1982,0.234,p0p50
United Kingdom,1983,0.22920001,p0p50
United Kingdom,1984,0.22570001,p0p50
United Kingdom,1985,0.2211,p0p50
United Kingdom,1986,0.2177,p0p50
United Kingdom,1987,0.2155,p0p50
United Kingdom,1988,0.2129,p0p50
United Kingdom,1989,0.2164,p0p50
United Kingdom,1990,0.213,p0p50
United Kingdom,1991,0.2128,p0p50
United Kingdom,1992,0.2137,p0p50
United Kingdom,1993,0.2093,p0p50
United Kingdom,1994,0.20909999,p0p50
United Kingdom,1995,0.2033,p0p50
United Kingdom,1996,0.2033,p0p50
United Kingdom,1997,0.2076,p0p50
United Kingdom,1998,0.2094,p0p50
United Kingdom,1999,0.20280001,p0p50
United Kingdom,2000,0.2089,p0p50
United Kingdom,2001,0.2075,p0p50
United Kingdom,2002,0.20810001,p0p50
United Kingdom,2003,0.2054,p0p50
United Kingdom,2004,0.2097,p0p50
United Kingdom,2005,0.2068,p0p50
United Kingdom,2006,0.205,p0p50
United Kingdom,2007,0.20460001,p0p50
United Kingdom,2008,0.2177,p0p50
United Kingdom,2009,0.2093,p0p50
United Kingdom,2010,0.2253,p0p50
United Kingdom,2011,0.2203,p0p50
United Kingdom,2012,0.2203,p0p50
United Kingdom,2013,0.2097,p0p50
United Kingdom,2014,0.21969999,p0p50
United Kingdom,2015,0.21699999,p0p50
United Kingdom,2016,0.22229999,p0p50
World,1980,0.0792,p0p50
World,1981,0.080799997,p0p50
World,1982,0.083999999,p0p50
World,1983,0.083099999,p0p50
World,1984,0.087399997,p0p50
World,1985,0.091700003,p0p50
World,1986,0.091399997,p0p50
World,1987,0.092500001,p0p50
World,1988,0.092200004,p0p50
World,1989,0.089900002,p0p50
World,1990,0.087800004,p0p50
World,1991,0.089500003,p0p50
World,1992,0.090099998,p0p50
World,1993,0.089299999,p0p50
World,1994,0.0889,p0p50
World,1995,0.088200003,p0p50
World,1996,0.088699996,p0p50
World,1997,0.089100003,p0p50
World,1998,0.089500003,p0p50
World,1999,0.089199997,p0p50
World,2000,0.086900003,p0p50
World,2001,0.087300003,p0p50
World,2002,0.086900003,p0p50
World,2003,0.086999997,p0p50
World,2004,0.088200003,p0p50
World,2005,0.088100001,p0p50
World,2006,0.089400001,p0p50
World,2007,0.091399997,p0p50
World,2008,0.092399999,p0p50
World,2009,0.095299996,p0p50
World,2010,0.094800003,p0p50
World,2011,0.094300002,p0p50
World,2012,0.094999999,p0p50
World,2013,0.095299996,p0p50
World,2014,0.096299998,p0p50
World,2015,0.096600004,p0p50
World,2016,0.096699998,p0p50
